"","zip","count","percent_total"
"1",20707,1,0.151745068285281
"2",20814,10,1.51745068285281
"3",20815,6,0.910470409711684
"4",20816,4,0.606980273141123
"5",20817,18,2.73141122913505
"6",20832,2,0.303490136570561
"7",20833,1,0.151745068285281
"8",20837,2,0.303490136570561
"9",20841,3,0.455235204855842
"10",20850,43,6.52503793626707
"11",20851,6,0.910470409711684
"12",20852,56,8.49772382397572
"13",20853,20,3.03490136570561
"14",20854,8,1.21396054628225
"15",20855,12,1.82094081942337
"16",20860,2,0.303490136570561
"17",20861,1,0.151745068285281
"18",20866,5,0.758725341426404
"19",20871,14,2.12443095599393
"20",20872,8,1.21396054628225
"21",20874,62,9.40819423368741
"22",20876,22,3.33839150227618
"23",20877,50,7.58725341426404
"24",20878,43,6.52503793626707
"25",20879,20,3.03490136570561
"26",20882,8,1.21396054628225
"27",20886,25,3.79362670713202
"28",20889,1,0.151745068285281
"29",20895,14,2.12443095599393
"30",20901,19,2.88315629742033
"31",20902,40,6.06980273141123
"32",20903,6,0.910470409711684
"33",20904,40,6.06980273141123
"34",20905,4,0.606980273141123
"35",20906,51,7.73899848254932
"36",20910,31,4.7040971168437
"37",21794,1,0.151745068285281
