FIPS,State abbrev,State,Grades,Enrollment type,School Year 2019-20,School Year 2020-2021,School Year 2021-22,Total change,Percent change,Notes
1,AL,Alabama,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Public school enrollment,724178,716084,725894,1716,0.236958317,
1,AL,Alabama,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Homeschool enrollment,14877,28307,21977,7100,47.72467567,
2,AK,Alaska,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Public school enrollment,128033,126363,127017,-1016,-0.793545414,
2,AK,Alaska,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),14877,28307,21977,7100,47.72467567,
4,AZ,Arizona,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Public school enrollment,1130693,1098017,1116643,-14050,-1.242600777,
4,AZ,Arizona,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
5,AR,Arkansas,Preschool to 12th grade,Homeschool enrollment,22249,30267,29118,6869,30.87329768,
5,AR,Arkansas,Preschool to 12th grade,Private enrollment,19877,20202,15484,-4393,-22.10092066,
5,AR,Arkansas,Kindergarten to 12th grade,Public school enrollment,479432,473004,473861,-5571,-1.162000033,
5,AR,Arkansas,Preschool to 12th grade,Total nonpublic enrollment (private + homeschool),42126,50469,44602,2476,5.877605279,
6,CA,California,Kindergarten to 12th grade,Homeschool enrollment,38532,59275,52628,14096,36.58258071,
6,CA,California,Kindergarten to 12th grade,Private enrollment,488984,471653,498486,9502,1.943212866,
6,CA,California,Kindergarten to 12th grade,Public school enrollment,6163001,6002392,5892073,-270928,-4.396040176,
6,CA,California,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),527516,530928,551114,23598,4.473418816,
8,CO,Colorado,Kindergarten to 12th grade,Homeschool enrollment,7880,15773,10502,2622,33.27411168,
8,CO,Colorado,Kindergarten to 12th grade,Private enrollment,34409,33080,34916,507,1.473451713,
8,CO,Colorado,Kindergarten to 12th grade,Public school enrollment,878798,856783,855623,-23175,-2.6371248,
8,CO,Colorado,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),42289,48853,45418,3129,7.399087233,
9,CT,Connecticut,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
9,CT,Connecticut,Kindergarten to 12th grade,Private enrollment,48717,47016,46853,-1864,-3.826179773,
9,CT,Connecticut,Kindergarten to 12th grade,Public school enrollment,505210,494006,491105,-14105,-2.791908315,
9,CT,Connecticut,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),48717,47016,46853,-1864,-3.826179773,
10,DE,Delaware,Kindergarten to 12th grade,Homeschool enrollment,3102,4950,4859,1757,56.64087685,
10,DE,Delaware,Kindergarten to 12th grade,Private enrollment,15074,15829,15630,556,3.688470214,
10,DE,Delaware,Kindergarten to 12th grade,Public school enrollment,137716,135993,136187,-1529,-1.110255889,
10,DE,Delaware,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),18176,20779,20489,2313,12.72557218,
11,DC,District of Columbia,Kindergarten to 12th grade,Homeschool enrollment,389,803,1159,770,197.9434447,
11,DC,District of Columbia,Kindergarten to 12th grade,Private enrollment,15107,17027,16220,1113,7.367445555,
11,DC,District of Columbia,Kindergarten to 12th grade,Public school enrollment,76990,77937,77460,470,0.610468892,
11,DC,District of Columbia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),15496,17830,17379,1883,12.15152297,
